best_params,Train_R2,Test_R2,Test_MAE,Test_MSE,Test_RMSE,radius,fp_size
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.253158908,0.103965398,2.546017107,10.35684438,3.218205149,1,12
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.969333323,0.640660632,1.354362522,4.153435491,2.037997912,1,64
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.983656098,0.684493699,1.269837882,3.646789594,1.909656931,1,128
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.969055521,0.69191136,1.210344132,3.561052329,1.887075072,1,256
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.930746224,0.736218105,1.166154906,3.048931406,1.746118955,1,512
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.963152918,0.765767928,1.102639376,2.70737884,1.64541145,1,1024
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.946962636,0.782603682,1.046113235,2.512782243,1.585175777,1,2048
"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.977957375,0.765175831,1.04796521,2.714222614,1.647489792,1,4096
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.951718742,0.754268388,1.084083812,2.840296634,1.685317962,1,8192
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.976705063,0.783813844,1.004867536,2.498794541,1.580757585,1,16384
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.16304237,0.005230416,2.755991856,11.49807581,3.390881274,2,12
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.989234744,0.440656476,1.810550916,6.465189871,2.542673764,2,64
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.980432494,0.578163073,1.55799189,4.875815504,2.208124884,2,128
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.968353249,0.613929792,1.446793152,4.462404752,2.112440473,2,256
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.953345349,0.663787258,1.342734811,3.88612565,1.971325861,2,512
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.935522351,0.705738841,1.274102601,3.401226946,1.844241564,2,1024
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.930387718,0.742930979,1.185062325,2.971340437,1.72375765,2,2048
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.965109978,0.759589505,1.093764588,2.778792335,1.666971006,2,4096
"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.964023231,0.78410521,1.048716915,2.495426778,1.579691988,2,8192
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.96126789,0.79502786,1.039548329,2.369176986,1.539213106,2,16384
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.136212762,-0.00141743,2.815326981,11.57491515,3.402192697,3,12
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.994093918,0.364616745,1.964902572,7.344097517,2.709999542,3,64
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.987762867,0.516017768,1.711104294,5.594123991,2.365190054,3,128
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.975633823,0.598670512,1.50978083,4.638779628,2.153782632,3,256
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.964346066,0.640279436,1.42711085,4.157841557,2.039078605,3,512
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.944967306,0.687007705,1.364967466,3.617731376,1.902033485,3,1024
"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.970861165,0.716808387,1.268340952,3.273279245,1.809220618,3,2048
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.933837814,0.744904914,1.185128037,2.948524653,1.71712686,3,4096
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.962615587,0.770171035,1.100030679,2.656485389,1.629872814,3,8192
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 1, 'subsample': 0.8}",0.978527024,0.782945536,1.071453763,2.508830907,1.583928946,3,16384
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.134296212,0.010841311,2.804122007,11.4332221,3.381304792,4,12
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.992688206,0.38632252,1.946794332,7.09321063,2.663308212,4,64
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.990190479,0.466726981,1.769967803,6.163853119,2.482710841,4,128
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.979533488,0.534761294,1.652076261,5.377476344,2.318938624,4,256
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.963753127,0.628259111,1.457679572,4.296778866,2.072867306,4,512
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.947053023,0.676982617,1.373082884,3.733606677,1.932254299,4,1024
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.937757713,0.711949015,1.30302659,3.329446458,1.824677083,4,2048
"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.93144964,0.733196797,1.213374318,3.083853287,1.756090341,4,4096
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.964677589,0.771452575,1.100777309,2.641672667,1.625322327,4,8192
"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 6, 'n_estimators': 300, 'reg_lambda': 5, 'subsample': 0.8}",0.962952829,0.77375267,1.110311632,2.615086948,1.617123047,4,16384
