n_epochs,max_complexity,criterion,r2
50,20,bic,0.48855875981173713
50,20,aic,0.5098062479514026
50,50,bic,0.4942795303063079
50,50,aic,0.5121686141940153
50,100,bic,0.5195514963400792
50,100,aic,0.5166269085861516
50,150,bic,0.5140628717329945
50,150,aic,0.5068978999771653
50,200,bic,0.47830060197764823
50,200,aic,0.5152938873961495
100,20,bic,0.5057241338668339
100,20,aic,0.5180166828052788
100,50,bic,0.49746884045463347
100,50,aic,0.5225901162565771
100,100,bic,0.5188103446233028
100,100,aic,0.5232578650035028
100,150,bic,0.509890939842915
100,150,aic,0.5172566365563478
100,200,bic,0.5275129111014165
100,200,aic,0.5336575262591884
200,20,bic,0.5104040121474012
200,20,aic,0.5202316319015687
200,50,bic,0.511567143954235
200,50,aic,0.531444603576309
200,100,bic,0.5002809025729305
200,100,aic,0.5428101452458105
200,150,bic,0.5299323264063249
200,150,aic,0.5092267330026651
200,200,bic,0.5442671302031268
200,200,aic,0.5413503486296098
