,importance
nAcid,0.19667143
fr_SH,0.049208514
AMW,0.03561185
fr_COO2,0.02713124
SdssS,0.024872057
NsOH,0.024073431
fr_Nhpyrrole,0.022267604
SpAbs_Dzpe,0.021704935
n6aHRing,0.021097874
SpMAD_Dzi,0.017088082
MaxPartialCharge,0.015984694
AATS0dv,0.0129531445
fr_oxime,0.008748713
fr_COO,0.0078153405
ATS0se,0.007749219
MaxAbsPartialCharge,0.007719539
SpAD_DzZ,0.007444016
nBase,0.007420969
fr_quatN,0.007376347
PEOE_VSA5,0.0073108743
BCUT2D_MRLOW,0.007173355
BCUTZ-1h,0.007040661
NdS,0.006364149
fr_allylic_oxid,0.006111107
AMID,0.0059751174
