task,set,model,level,n_dropped,n,r2,rmse,mae,spearman,pearson
acidic,novartis_acidic,qlattice,full,0,112,0.22192588425890258,2.2498842328875983,1.7521105980465543,0.4294068442824473,0.5115430505362759
acidic,novartis_acidic,qlattice,exact,0,112,0.22192588425890258,2.2498842328875983,1.7521105980465543,0.4294068442824473,0.5115430505362759
acidic,novartis_acidic,qlattice,conn,0,112,0.22192588425890258,2.2498842328875983,1.7521105980465543,0.4294068442824473,0.5115430505362759
acidic,novartis_acidic,lightgbm,full,0,112,0.5326031334879565,1.7437835905466224,1.283213076056909,0.7057094845084759,0.737872393962312
acidic,novartis_acidic,lightgbm,exact,0,112,0.5326031334879565,1.7437835905466224,1.283213076056909,0.7057094845084759,0.737872393962312
acidic,novartis_acidic,lightgbm,conn,0,112,0.5326031334879565,1.7437835905466224,1.283213076056909,0.7057094845084759,0.737872393962312
acidic,novartis_acidic,random_forest,full,0,112,0.4154574833032597,1.9501038548868384,1.332333358134921,0.7308096547845631,0.6979416537176366
acidic,novartis_acidic,random_forest,exact,0,112,0.4154574833032597,1.9501038548868384,1.332333358134921,0.7308096547845631,0.6979416537176366
acidic,novartis_acidic,random_forest,conn,0,112,0.4154574833032597,1.9501038548868384,1.332333358134921,0.7308096547845631,0.6979416537176366
acidic,AvLiLuMoVe_123_acidic,qlattice,full,0,26,0.1305290578922107,0.8356951359723708,0.6449336726229065,0.5765611718256438,0.50075913158105
acidic,AvLiLuMoVe_123_acidic,qlattice,exact,0,26,0.1305290578922107,0.8356951359723708,0.6449336726229065,0.5765611718256438,0.50075913158105
acidic,AvLiLuMoVe_123_acidic,qlattice,conn,5,21,0.015202393385288948,0.9151433183185446,0.7221646199955261,0.48083181040654926,0.4459055663688465
acidic,AvLiLuMoVe_123_acidic,lightgbm,full,0,26,-3.0210337908400344,1.7971701624877272,1.1121743340634285,0.40444825228362663,0.17043910268517393
acidic,AvLiLuMoVe_123_acidic,lightgbm,exact,0,26,-3.0210337908400344,1.7971701624877272,1.1121743340634285,0.40444825228362663,0.17043910268517393
acidic,AvLiLuMoVe_123_acidic,lightgbm,conn,5,21,-3.694983987191132,1.9981711242134574,1.3445512041095318,0.4204029477473478,0.148425283378186
acidic,AvLiLuMoVe_123_acidic,random_forest,full,0,26,-3.22246206973917,1.84163354416093,1.0666134615384613,0.40547477069043786,0.14867342339921163
acidic,AvLiLuMoVe_123_acidic,random_forest,exact,0,26,-3.22246206973917,1.84163354416093,1.0666134615384613,0.40547477069043786,0.14867342339921163
acidic,AvLiLuMoVe_123_acidic,random_forest,conn,5,21,-3.936821423939893,2.0489875992066593,1.3095515873015866,0.3807668120246458,0.09097254642102225
acidic,SAMPL7_acidic,qlattice,full,0,20,-0.29790665055346577,2.676058575589786,2.375388166640068,0.11733735316441857,0.13804601953691958
acidic,SAMPL7_acidic,qlattice,exact,0,20,-0.29790665055346577,2.676058575589786,2.375388166640068,0.11733735316441857,0.13804601953691958
acidic,SAMPL7_acidic,qlattice,conn,0,20,-0.29790665055346577,2.676058575589786,2.375388166640068,0.11733735316441857,0.13804601953691958
acidic,SAMPL7_acidic,lightgbm,full,0,20,-0.22754450996291253,2.6025106213599893,2.0820947000522385,0.2421963315316845,0.2782661484845012
acidic,SAMPL7_acidic,lightgbm,exact,0,20,-0.22754450996291253,2.6025106213599893,2.0820947000522385,0.2421963315316845,0.2782661484845012
acidic,SAMPL7_acidic,lightgbm,conn,0,20,-0.22754450996291253,2.6025106213599893,2.0820947000522385,0.2421963315316845,0.2782661484845012
acidic,SAMPL7_acidic,random_forest,full,0,20,0.07589020131513835,2.258061021721918,2.0709284722222234,0.5994735286669334,0.5087047138177875
acidic,SAMPL7_acidic,random_forest,exact,0,20,0.07589020131513835,2.258061021721918,2.0709284722222234,0.5994735286669334,0.5087047138177875
acidic,SAMPL7_acidic,random_forest,conn,0,20,0.07589020131513835,2.258061021721918,2.0709284722222234,0.5994735286669334,0.5087047138177875
basic,novartis_basic,qlattice,full,0,168,-0.21874618879087349,2.3411103445673285,1.8772355925577342,0.30102957376048567,0.3169121041297007
basic,novartis_basic,qlattice,exact,0,168,-0.21874618879087349,2.3411103445673285,1.8772355925577342,0.30102957376048567,0.3169121041297007
basic,novartis_basic,qlattice,conn,0,168,-0.21874618879087349,2.3411103445673285,1.8772355925577342,0.30102957376048567,0.3169121041297007
basic,novartis_basic,lightgbm,full,0,168,0.5780685055221744,1.377482913838053,1.0874743267666283,0.7231574420028734,0.7640088725281574
basic,novartis_basic,lightgbm,exact,0,168,0.5780685055221744,1.377482913838053,1.0874743267666283,0.7231574420028734,0.7640088725281574
basic,novartis_basic,lightgbm,conn,0,168,0.5780685055221744,1.377482913838053,1.0874743267666283,0.7231574420028734,0.7640088725281574
basic,novartis_basic,random_forest,full,0,168,0.6078428526500586,1.3279915635011987,1.0515588498677253,0.7093015817964871,0.7875385305103361
basic,novartis_basic,random_forest,exact,0,168,0.6078428526500586,1.3279915635011987,1.0515588498677253,0.7093015817964871,0.7875385305103361
basic,novartis_basic,random_forest,conn,0,168,0.6078428526500586,1.3279915635011987,1.0515588498677253,0.7093015817964871,0.7875385305103361
basic,AvLiLuMoVe_123_basic,qlattice,full,0,97,-3.6473506293523794,3.0838477107775297,2.613372511879855,0.269750669424912,0.3259597330145598
basic,AvLiLuMoVe_123_basic,qlattice,exact,2,95,-3.7577738293475207,3.0934994181175464,2.6146267996510604,0.24775639192314272,0.30371242546192817
basic,AvLiLuMoVe_123_basic,qlattice,conn,11,86,-3.769060868081935,3.16318704322183,2.6534118066760533,0.1869355606111226,0.2673585051294595
basic,AvLiLuMoVe_123_basic,lightgbm,full,0,97,0.39862287535269014,1.1093374009629933,0.7599555944253639,0.6753811815342117,0.6343123623572028
basic,AvLiLuMoVe_123_basic,lightgbm,exact,2,95,0.3785242142939461,1.1180474827685725,0.7660558207312064,0.6714315826999411,0.618499697352544
basic,AvLiLuMoVe_123_basic,lightgbm,conn,11,86,0.36586786460391585,1.1534487996175558,0.8011541175324025,0.6302245213939421,0.6071207360397124
basic,AvLiLuMoVe_123_basic,random_forest,full,0,97,0.17917733964083526,1.296029455087041,1.0151837628865994,0.5686877418603153,0.5441508975885762
basic,AvLiLuMoVe_123_basic,random_forest,exact,2,95,0.14774085979162377,1.309284347489273,1.0323859064327503,0.5559308603503111,0.5187249135022383
basic,AvLiLuMoVe_123_basic,random_forest,conn,11,86,0.13364050598770882,1.3482098936769105,1.0716184108527145,0.5050912216966588,0.4906865646981754
acidic,POOLED,qlattice,full,,158,0.33606472998003345,2.147010712954609,1.6488128215329814,0.5746594678085476,0.5968054580185627
acidic,POOLED,lightgbm,full,,158,0.4895051005422254,1.8826389734639535,1.3561917164877708,0.7065217653430584,0.70622201352628
acidic,POOLED,random_forest,full,,158,0.4383829972358205,1.9746560723845674,1.3821003516174406,0.7703292957465524,0.6997096432158972
basic,POOLED,qlattice,full,,265,-0.3767723591194161,2.637362407857677,2.1466894837813033,0.41690319096200856,0.4201229240263187
basic,POOLED,lightgbm,full,,265,0.6727394103509561,1.285836047531541,0.9675901115322786,0.8166396909691167,0.8218015662828235
basic,POOLED,random_forest,full,,265,0.6570059672022852,1.3163822713967932,1.0382441953878414,0.7947703767967785,0.8219964531832834
acidic,POOLED,qlattice,exact,,158,0.33606472998003345,2.147010712954609,1.6488128215329814,0.5746594678085476,0.5968054580185627
acidic,POOLED,lightgbm,exact,,158,0.4895051005422254,1.8826389734639535,1.3561917164877708,0.7065217653430584,0.70622201352628
acidic,POOLED,random_forest,exact,,158,0.4383829972358205,1.9746560723845674,1.3821003516174406,0.7703292957465524,0.6997096432158972
basic,POOLED,qlattice,exact,,263,-0.3890121793245567,2.6377626019767613,2.143593633142776,0.40985633352511436,0.4102752785148469
basic,POOLED,lightgbm,exact,,263,0.6678893775443573,1.2898050201833842,0.9713725850428068,0.8147644102767099,0.8188258415327448
basic,POOLED,random_forest,exact,,263,0.6514907208146012,1.3212647621024083,1.0446332619349397,0.7923154887927795,0.8187916423217163
acidic,POOLED,qlattice,conn,,153,0.32589801560679443,2.180955415196482,1.6922196557772646,0.5590198760487164,0.5895845587456177
acidic,POOLED,lightgbm,conn,,153,0.4814008413190932,1.912933569896685,1.3960610052661357,0.698715367375362,0.7005485772546742
acidic,POOLED,random_forest,conn,,153,0.42935120334616916,2.006635252172084,1.4257548293391435,0.763481738816331,0.6951302546749927
basic,POOLED,qlattice,conn,,254,-0.4098818045842252,2.648182187164055,2.1400354130859838,0.3814619070433497,0.3851987723016107
basic,POOLED,lightgbm,conn,,254,0.6571272012190886,1.3059393960402594,0.9905312637975597,0.8066311535127865,0.8120928311572149
basic,POOLED,random_forest,conn,,254,0.6417667759062813,1.334871429822644,1.0583506697287848,0.7832193358187274,0.8120802281178572
