top_k,complexity,edge_count,fold,val_r2
4,14,9,0,0.5630907566773978
4,24,9,0,0.5439786857883113
4,8,5,0,0.4903730332985289
4,9,6,0,0.5221630202856151
4,16,5,0,0.4947568984015045
4,17,7,0,0.49798458121404743
4,10,6,0,0.4771233751844778
4,7,4,0,0.5025683253549192
4,9,6,0,0.5167312104794357
4,21,8,0,0.5139028471681321
4,20,8,1,0.3941314510081444
4,28,9,1,0.40292024372691615
4,14,7,1,0.38087550439688267
4,22,9,1,0.4233701184495233
4,17,7,1,0.4078117389689948
4,15,7,1,0.379044056712047
4,14,9,1,0.3879478077212404
4,34,13,1,0.4245199108422715
4,11,7,1,0.3784730732979189
4,10,6,1,0.37577829065008717
4,34,16,2,0.4994272032348831
4,9,6,2,0.48403055205598944
4,11,8,2,0.4848010605750095
4,14,8,2,0.45476987319622897
4,9,6,2,0.4844900639944786
4,15,5,2,0.48779878906191443
4,13,8,2,0.4876273914658842
4,7,4,2,0.47002055776020435
4,17,7,2,0.4856587865903479
4,21,9,2,0.48599091453751686
4,12,7,3,0.5071817803046454
4,22,11,3,0.4445038438510398
4,11,8,3,0.470574598321184
4,12,7,3,0.44608941512886635
4,9,6,3,0.48014016524734304
4,12,8,3,0.46486309861172703
4,11,7,3,0.47767602109068175
4,7,4,3,0.4743929592342545
4,10,5,3,0.38339745079392074
4,11,8,3,0.43433600090409075
6,15,10,0,0.5357933459362165
6,22,9,0,0.5387199655405659
6,9,6,0,0.5021065840289173
6,15,12,0,0.5078663130601083
6,13,8,0,0.4836468904566783
6,12,7,0,0.49955671812394276
6,11,6,0,0.4721846625485605
6,13,8,0,0.47725432980289606
6,12,8,0,0.5234003003390016
6,12,7,0,0.46955504260425285
6,27,9,1,0.4549691635725204
6,21,10,1,0.4398780520296047
6,15,8,1,0.4303268954225311
6,26,7,1,0.4653861349820596
6,12,7,1,-145514.32482218242
6,12,7,1,0.42549610593484166
6,8,4,1,0.34204372187413257
6,43,17,1,-1432242.2792493254
6,22,10,1,0.45940191743753156
6,10,6,1,0.443927319139759
6,14,8,2,0.5213877122325612
6,18,11,2,0.5149607471615018
6,17,7,2,0.4894438391764071
6,9,6,2,0.47444561799621277
6,13,10,2,0.4670616381976418
6,12,8,2,0.48263223625116636
6,20,8,2,0.47083084454831114
6,20,13,2,0.4470436085350836
6,14,9,2,0.49310526772001684
6,11,8,2,0.47954278862767885
6,23,11,3,0.42887266268559576
6,15,9,3,0.4298798777244175
6,17,10,3,0.39937182741421384
6,19,9,3,0.410400270898571
6,21,9,3,0.398083558447756
6,15,11,3,0.44542217200508516
6,11,8,3,0.379782945189881
6,15,10,3,0.4605183980356109
6,9,6,3,0.4076896809830147
6,9,6,3,0.39810929105494697
8,30,15,0,0.4802006500397643
8,11,8,0,0.5227333713382303
8,11,8,0,0.5154802155122262
8,17,10,0,0.5347742406893301
8,21,13,0,0.5763815270375929
8,23,13,0,0.5034847637653477
8,19,7,0,0.530800031960683
8,15,11,0,0.4930774817066287
8,10,8,0,0.4474794729091628
8,18,10,0,0.5088695238532801
8,17,10,1,-633503.9170892512
8,16,9,1,-504110.9833708652
8,34,16,1,0.4641572428279701
8,15,10,1,-519025.18672942213
8,17,10,1,-500127.2497905682
8,12,7,1,0.37879561547436436
8,11,6,1,0.3777882374048591
8,8,4,1,0.35496878187571823
8,26,13,1,-1671656.39113545
8,11,6,1,0.4846115629290505
8,30,13,2,0.49362049005915254
8,22,11,2,0.4882339172353245
8,22,10,2,0.498610087912185
8,16,8,2,0.4736534851833768
8,9,6,2,0.49904533350971547
8,21,9,2,0.4842240696192808
8,21,10,2,0.5091955378798567
8,18,8,2,0.4742451909695522
8,15,10,2,0.47678832349156963
8,17,12,2,0.4635864729952639
8,19,11,3,0.48689273848162473
8,12,9,3,0.5185221320249778
8,18,7,3,0.5056625475075953
8,13,9,3,0.4621147842918245
8,12,7,3,0.3809076814797905
8,17,10,3,0.48796807736491765
8,13,8,3,0.4693540121665204
8,9,6,3,0.46038089948594463
8,14,8,3,0.4730486428712707
8,11,8,3,0.422382607022302
